"description","amount","currency","date","balance","category","merchant"
Series Seed Investment from Investor Llc,50000.0,USD,2020-10-08,998850.0,Equity Investment,
UPS*0000001R00F6399,-209.0,USD,2020-10-08,1048850.0,Postage,UPS
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-08,1048641.0,P2P Transfers,Cash App
ACH PMT A0000 AMEX EPAYMENT COID,-198.0,USD,2020-10-08,1048581.0,Credit Card,American Express
TRANSFER INV 123456 EDI PMT WALMART,280.0,USD,2020-10-10,1048383.0,Revenue,Walmart
CHECK #0000,-222.0,USD,2020-10-10,1048663.0,Check Outflows,
CHECK #0000,-100.0,USD,2020-10-16,1042062.0,Check Outflows,
GOOGLE ADS ADS,-400.0,USD,2020-10-08,1000000.0,Advertising,Google
GOOGLE ADS ADS,-750.0,USD,2020-10-08,999600.0,Advertising,Google
GOOGLE ADS ADS,-1500.0,USD,2020-10-16,1041763.0,Advertising,Google
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-199.0,USD,2020-10-16,1041962.0,Inventory,Paypal
CHECK #200,-300.0,USD,2020-11-05,1040943.0,Check Outflows,
ADP 401k ABC12345ABC ADP 401,-150.0,USD,2020-11-21,1035137.0,Payroll and Consultants,ADP
Amazon,-71.0,USD,2020-11-21,1034716.0,Software,Amazon
DEPOSIT,3147.0,USD,2020-11-26,1043920.35,ATM Cash Inflows,
SHOPIFY CAPITAL,-400.0,USD,2021-01-01,1055896.35,Debt Repayment,Shopify Capital
Uber,-10.65,USD,2021-01-24,1042748.35,Travel,Uber
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-03-01,1042195.7,Insurance,Hiscox
UPS*0000001R00F6399,-209.0,USD,2021-05-12,1060785.7,Postage,UPS
BlueVine BlueVine ***********,-1100.0,USD,2021-09-01,1074231.7,,
PITNEY BOWES,-20.0,USD,2021-08-15,1073268.7,Inventory,Pitney Bowes
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2690.0,USD,2021-08-17,1073815.7,Revenue,Stripe
INST XFER FACEBOOK FACEBO PAYPAL,-81.0,USD,2021-08-18,1076505.7,Advertising,Facebook
TRANSFER INV 123456 EDI PMT WALMART,567.0,USD,2021-08-16,1073248.7,Revenue,Walmart
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-03-01,1047263.7,,
WITHDRAWAL FEE,-2.0,USD,2020-11-25,1034312.35,,
WITHDRAWAL FEE,-2.0,USD,2020-11-25,1034575.35,,
iTunes,-13.0,USD,2020-10-21,1038317.0,,
USPS.COM CLICKNSHIP,-22.0,USD,2020-10-21,1038282.0,,
Amazon.com Amzn.com/bill,-29.0,USD,2020-10-21,1038260.0,,
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-06-01,1069158.7,,
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-01-01,1057884.35,,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-11,1040631.0,,
UPS*0999999R00F6429,-55.0,USD,2021-03-16,1052755.7,Postage,UPS
iTunes,-13.0,USD,2021-04-14,1060005.7,Software,Apple
TRANSFER ST-W2Q9V4R9I9J9 STRIPE,6000.0,USD,2021-09-07,1088986.7,Revenue,Stripe
TRANSFER INV 123456 EDI PMT WALMART,290.0,USD,2021-09-05,1083196.7,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,5500.0,USD,2021-09-06,1083486.7,Revenue,Walmart
TRANSFER FROM SAVINGS,1500.0,USD,2020-10-11,1048441.0,Reconciled Intra-Company transfers,
DEPOSIT 524771998443963 INTUIT P,1745.0,USD,2020-10-15,1049506.0,Revenue,Intuit
CHECK #12345,-60.0,USD,2020-10-17,1038650.0,Check Outflows,
iTunes,-13.0,USD,2020-10-21,1038330.0,Software,Apple
DEPOSIT 524771998443963 INTUIT P,3000.0,USD,2020-10-21,1038223.0,Revenue,Intuit
TRANSFER INV 123456 EDI PMT WALMART,387.0,USD,2020-10-23,1041223.0,Revenue,Walmart
Facebk Ads Menlo PARK,101.0,USD,2020-10-25,1041393.0,Revenue,Facebook
TRANSFER INV 123456 EDI PMT WALMART,934.0,USD,2020-11-07,1039887.0,Revenue,Walmart
DEPOSIT 123456 INTUIT P,1745.0,USD,2020-11-12,1040102.0,Revenue,Intuit
CHECK #3028,-216.0,USD,2020-11-12,1040531.0,Check Outflows,
INST XFER STICKERMULE PAYPAL COI,-176.0,USD,2020-11-12,1040315.0,Other expenses,Paypal
Marketplac 34567ASDFGH AMZN,218.0,USD,2020-11-18,1041047.0,Revenue,Amazon
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-6200.0,USD,2020-11-21,1041337.0,Inventory,Paypal
CHECK #3039,-60.0,USD,2020-11-22,1034412.35,Check Outflows,
CHECK #3028,-60.0,USD,2020-11-22,1034352.35,Check Outflows,
